district,revenue_circle,drainage_basin,latitude,longitude,elevation_m,slope_deg,topographic_wetness_index_twi,soil_type,land_use,rainfall_1day_mm,rainfall_3day_mm,rainfall_7day_mm,distance_to_river_km,distance_to_embankment_m,in_floodplain,flood_label
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.504891,91.551093,49.0,0.57,14.42,Alluvial silt loam,Rural Settlement,215.9,380.7,541.7,0.65,79,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.232162,92.054856,58.6,0.54,15.42,Clayey alluvium,Rural Floodplain Settlement,185.3,397.2,481.6,0.5,243,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.020209,93.343087,206.7,12.94,7.61,Red loamy soil,Dense Tropical Forest,82.5,173.5,239.3,16.87,8714,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.129189,93.467697,365.5,23.54,5.5,Skeletal rocky soil,Rubber / Coffee Plantation,44.8,102.2,162.9,23.95,18616,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.378125,93.064297,777.2,17.88,3.99,Red and yellow forest soil,Sub-Tropical Montane Forest,107.4,195.2,295.9,31.92,11021,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.740472,94.401924,122.0,4.01,8.35,Old alluvial terrace soil,Agroforestry,92.1,161.6,237.4,18.59,6773,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.181416,92.310143,50.8,0.57,11.22,Clayey alluvium,Paddy Cropland,168.2,396.0,527.1,0.78,559,1,1
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,26.928043,94.09479,78.6,0.19,15.42,Coarse river sand and silt,Riparian Grassland,174.7,326.0,417.7,0.52,96,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.77764,94.294099,113.8,3.09,7.46,Deep red acidic loam,Agroforestry,56.6,115.0,199.9,7.89,6497,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.321879,95.837509,207.3,6.94,6.89,Sandy clay red loam,Highland Industrial / Township,102.7,144.6,303.3,7.91,15718,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.010448,93.42512,317.6,21.42,7.06,Lateritic gravelly clay,Dense Tropical Forest,48.0,90.9,236.7,26.76,5780,0,0
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.350953,92.696595,66.6,1.02,12.33,Alluvial clay loam,Lowland Marsh,169.5,338.9,540.0,2.07,431,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.623693,93.507386,74.0,0.34,12.34,Marshy organic loam,National Park Grassland,175.4,284.9,498.7,1.02,420,1,1
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.075632,92.760885,57.3,0.33,11.61,Silty alluvium,Lowland Marsh,176.7,379.6,495.6,2.67,752,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.8168,91.501949,138.5,3.39,5.34,Bhabar gravelly loam,Deciduous Forest,88.1,235.6,330.5,13.62,8278,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,26.944079,94.158776,82.7,0.39,13.26,Active alluvial deposits,Paddy Cropland,171.7,315.8,400.8,1.06,417,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.609961,93.354709,64.6,0.46,13.6,Marshy organic loam,Paddy Fringe,192.5,317.0,409.2,1.3,157,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.24693,89.897974,42.0,0.22,14.42,Hydromorphic alluvial silt,Char Settlement,195.9,304.6,396.1,0.31,217,1,1
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.149878,92.959298,58.5,0.39,14.12,Silty alluvium,Lowland Marsh,196.1,355.8,406.8,1.56,588,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.28511,95.825987,170.7,10.68,5.76,Sandy clay red loam,Tea Estate,120.5,182.2,212.5,12.74,11660,0,0
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.508764,91.542666,47.5,0.87,10.43,Clayey loam,Wetland,189.7,363.6,508.3,1.11,641,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.096714,93.056282,575.8,29.89,3.81,Red and yellow forest soil,Settlement on Ridge,56.9,178.9,233.5,13.04,7667,0,0
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.576772,93.432865,66.4,0.44,11.5,Marshy organic loam,National Park Grassland,143.3,297.7,514.3,1.5,448,1,1
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.163324,94.181292,88.4,0.81,10.98,Riverine silt loam,Alluvial Lowland,155.9,396.1,450.6,1.43,791,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.016162,90.312234,41.5,0.54,16.16,Hydromorphic alluvial silt,Paddy Cropland,172.0,311.5,474.7,0.72,433,1,1
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.059761,94.337856,80.3,0.12,13.43,Coarse river sand and silt,Riparian Grassland,156.8,337.0,448.2,1.34,86,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.415361,92.322619,50.2,0.4,11.17,Riverine silt,Wetland / Marshland,208.3,434.8,532.0,1.81,359,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.495941,95.831629,221.2,9.11,6.8,Sandy clay red loam,Highland Industrial / Township,73.3,196.9,223.1,14.48,5772,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.0003,90.106394,39.5,0.32,12.43,Hydromorphic alluvial silt,Char Settlement,172.0,360.5,481.8,0.37,451,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.678199,92.700108,123.8,6.62,8.05,Sandy loam,Urban Cantonment,91.9,182.1,312.5,12.26,11881,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.742513,92.583622,103.6,3.36,8.19,Sandy loam,Urban Cantonment,123.3,175.1,279.1,10.81,4524,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.205179,92.309383,51.4,0.26,11.51,Clayey alluvium,Rural Floodplain Settlement,207.2,416.4,585.7,0.91,275,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.63364,93.564335,65.5,0.41,12.68,Marshy organic loam,National Park Grassland,197.6,319.5,483.9,1.09,88,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.291721,93.01638,516.6,26.3,4.15,Red and yellow forest soil,Sub-Tropical Montane Forest,106.7,183.0,218.7,18.92,15979,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.968461,93.583633,186.2,11.54,4.89,Lateritic gravelly clay,Rubber / Coffee Plantation,67.9,142.9,222.2,26.28,21922,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.309834,95.737586,175.5,7.28,5.37,Laterite,Tea Estate,65.6,144.1,256.6,16.57,13349,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.212937,93.154336,405.5,30.72,4.51,Red and yellow forest soil,Hilly Terrain,94.7,204.1,297.0,34.94,27159,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.38164,91.115119,49.3,0.68,15.38,Fine alluvial silt,Paddy Cropland,198.0,445.6,493.3,1.1,71,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.007357,90.273736,40.3,0.23,15.12,Fine riverine sand,Char Settlement,133.5,292.2,440.3,1.59,524,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.103905,91.936628,179.3,12.18,7.24,Ferruginous weathered rock,Rocky Outcrop / Hill Scrub,75.5,198.7,282.7,12.06,5140,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.948792,93.747011,409.1,9.15,7.27,Skeletal rocky soil,Rubber / Coffee Plantation,50.4,94.9,162.0,16.35,7434,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.77401,94.448222,120.0,4.98,7.51,Deep red acidic loam,Elevated Homestead,70.3,146.0,272.7,11.89,16578,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.687119,92.576135,112.0,2.65,7.26,Piedmont coarse alluvium,Urban Cantonment,96.7,175.7,297.1,12.27,6122,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.683201,92.725545,92.4,5.01,5.35,Sandy loam,Tea Plantation,77.7,174.8,192.6,8.56,4427,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.264257,93.54388,422.5,10.37,7.73,Lateritic gravelly clay,Dense Tropical Forest,67.1,153.4,212.7,6.16,24669,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.412337,95.83676,168.2,13.88,5.82,Sandy clay red loam,Tea Estate,123.5,217.6,290.8,11.2,8053,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.192201,90.668792,172.3,10.36,5.62,Laterite outcrop,Rubber Plantation,67.8,134.1,194.1,12.83,6953,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.290951,95.69772,166.0,13.69,6.52,Sandy clay red loam,Highland Industrial / Township,73.4,199.4,333.5,7.32,10687,0,0
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.29025,91.31685,53.2,0.31,12.4,Clayey loam,Wetland,214.5,357.7,468.4,2.0,615,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.316966,92.883666,418.8,12.88,3.92,Gravelly skeletal clay,Settlement on Ridge,73.7,198.5,270.8,11.98,13408,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.624333,94.26293,131.1,3.87,5.99,Old alluvial terrace soil,Agroforestry,64.4,199.4,192.4,6.86,13604,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,26.985505,94.209803,79.6,0.4,13.5,Active alluvial deposits,Riparian Grassland,134.2,304.5,453.0,0.55,225,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.242758,90.965507,44.6,0.62,12.86,Clayey hydromorphic loam,Paddy Cropland,241.8,457.9,636.2,1.79,482,1,1
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.39173,92.789815,58.9,0.4,12.51,Alluvial clay loam,Paddy Cropland,156.6,313.0,469.2,1.31,199,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.135623,92.927845,459.5,17.24,4.08,Red and yellow forest soil,Sub-Tropical Montane Forest,56.3,194.3,288.4,8.57,22258,0,0
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.349565,93.088647,63.0,0.81,12.31,Silty alluvium,Rural Settlement,153.2,292.5,449.3,1.39,207,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.348095,93.348108,275.5,16.18,4.44,Red loamy soil,Rubber / Coffee Plantation,90.3,91.7,206.5,18.9,6131,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.17789,90.543988,184.7,8.44,4.53,Gravelly red loam,Rubber Plantation,76.8,210.9,255.8,14.94,8963,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.313735,95.551728,218.6,10.47,7.57,Laterite,Tea Estate,77.4,162.8,317.6,14.51,10347,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.131676,91.76635,264.7,18.98,7.42,Red gravelly loam,Highland Residential Built-up,79.2,169.1,283.8,13.53,9001,0,0
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.309169,91.300384,50.6,0.74,14.66,Clayey loam,Rural Settlement,178.1,362.5,572.6,1.98,429,1,1
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.175549,92.759283,65.2,0.45,13.31,Alluvial clay loam,Rural Settlement,151.0,383.0,539.6,0.9,246,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.352058,90.772011,48.3,0.59,12.33,Fine alluvial silt,Char Land,161.0,414.5,538.9,1.03,459,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.306519,91.56067,47.6,0.88,12.24,Clayey loam,Rural Settlement,198.4,322.5,510.7,2.23,320,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.766021,91.433523,114.7,5.55,5.49,Bhabar gravelly loam,Tea Estate,78.9,248.9,281.5,15.93,8501,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.378067,95.741258,152.6,13.92,6.56,Sandy clay red loam,Evergreen Forest Scarp,81.8,226.5,243.7,14.42,8411,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.921066,92.812144,32.7,0.32,14.43,Heavy alluvial clay,Urban Built-up / Commercial,273.8,446.6,527.2,0.77,136,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.55485,94.51861,97.5,1.13,13.0,Alluvial sandy silt,Paddy Cropland,145.5,298.8,556.5,1.01,614,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.691046,94.314029,127.6,4.77,5.83,Deep red acidic loam,Agroforestry,90.1,195.2,195.4,16.21,12170,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.108487,90.518512,186.3,10.82,4.55,Gravelly red loam,High Settlement,107.9,162.3,254.2,15.36,10701,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.305032,93.600894,262.3,21.33,4.28,Skeletal rocky soil,Hilly Homestead,40.1,128.4,220.8,20.3,21931,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.159359,90.704829,116.6,15.82,5.2,Gravelly red loam,Rubber Plantation,102.0,152.5,270.9,12.62,12339,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.694149,92.805818,107.6,3.33,6.16,Piedmont coarse alluvium,Urban Cantonment,93.8,157.6,254.8,14.3,13197,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.468345,95.6903,215.6,7.67,6.27,Sandy clay red loam,Evergreen Forest Scarp,89.5,187.2,238.9,13.09,9178,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.659266,92.771261,104.5,6.24,7.01,Sandy loam,Tea Plantation,67.6,239.5,290.8,13.68,5982,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.343008,95.798595,165.6,4.79,7.12,Laterite,Evergreen Forest Scarp,117.5,200.9,333.8,20.99,9311,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.409729,95.557439,223.0,7.54,7.45,Laterite,Highland Industrial / Township,69.4,235.9,335.9,8.12,13630,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.119033,94.204049,85.0,0.35,12.43,Active alluvial deposits,Wetland,140.1,302.3,386.6,0.79,400,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.444369,92.9472,724.3,21.7,3.73,Red and yellow forest soil,Settlement on Ridge,63.4,192.0,279.4,12.61,6433,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.468032,95.785237,234.3,8.48,6.66,Sandy clay red loam,Evergreen Forest Scarp,127.1,245.4,339.0,15.48,19967,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.941013,92.682183,29.1,0.56,15.31,Heavy alluvial clay,Urban Built-up / Commercial,249.4,440.8,605.8,0.3,316,1,1
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.275442,92.65931,67.5,0.83,11.13,Alluvial clay loam,Paddy Cropland,183.5,346.0,477.1,0.93,416,1,1
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.259593,93.148007,57.7,0.79,10.2,Silty alluvium,Rural Settlement,154.8,319.8,500.2,0.72,767,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.607788,94.255073,123.2,4.63,8.34,Old alluvial terrace soil,Agroforestry,90.9,153.5,267.6,8.98,5645,0,0
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.256549,92.826449,69.9,0.69,12.07,Alluvial clay loam,Lowland Marsh,170.2,312.2,482.3,1.07,203,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.501935,95.693015,233.6,12.84,5.82,Sandy clay red loam,Highland Industrial / Township,81.0,204.5,323.4,10.3,7935,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.106653,93.544717,336.7,12.87,4.73,Red loamy soil,Hilly Homestead,62.6,167.4,249.3,19.95,21765,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.889597,92.660919,29.3,0.18,12.57,Hydromorphic depression silt,Depression Wetland (Beel),244.7,436.8,576.5,1.23,279,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.484911,91.412882,54.9,0.48,11.14,Alluvial silt loam,Rural Settlement,226.9,446.2,462.8,0.96,88,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.18992,90.561112,105.1,7.25,4.82,Laterite outcrop,Mixed Scrub and Rocky Outcrop,103.8,196.9,195.6,7.69,10725,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.867404,93.546877,207.9,15.48,7.7,Skeletal rocky soil,Mixed Deciduous Forest,91.2,137.5,217.7,7.85,13832,0,0
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.484726,91.367675,51.4,0.78,10.35,Alluvial silt loam,Rural Settlement,226.1,320.4,467.2,1.15,528,1,1
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.111485,94.372711,79.3,0.43,16.23,Active alluvial deposits,Wetland,177.9,294.5,417.1,0.18,352,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.232791,92.041935,50.8,0.45,13.0,Riverine silt,Paddy Cropland,173.0,423.7,536.1,0.86,211,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.177544,92.868252,452.2,12.76,6.55,Gravelly skeletal clay,Settlement on Ridge,63.1,141.8,272.3,9.07,25002,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.160781,90.607195,108.7,10.45,6.45,Gravelly red loam,Mixed Scrub and Rocky Outcrop,112.0,209.2,272.6,5.88,5841,0,0
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.252495,92.929315,64.1,0.57,10.35,Silty alluvium,Lowland Marsh,155.0,342.0,460.3,1.56,279,1,1
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.009717,94.014283,92.8,0.63,15.38,Clayey loam,Rural Homestead,199.8,274.7,400.3,1.69,743,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.498657,95.658466,220.9,14.76,5.54,Laterite,Highland Industrial / Township,110.0,189.0,334.5,13.15,6195,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.723562,92.59913,103.9,4.18,6.97,Sandy loam,Tea Plantation,123.7,188.5,243.7,11.42,4654,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.800288,91.640392,133.1,7.03,5.28,Bhabar gravelly loam,Foothill Plantation,119.4,151.2,236.4,9.39,5231,0,0
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.584324,93.37906,72.2,0.36,14.71,Alluvial silt loam,Paddy Fringe,155.5,353.6,479.7,1.03,306,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.163051,90.779114,49.9,0.55,14.66,Fine alluvial silt,Permanent Wetland,233.9,389.9,642.7,0.22,517,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.815485,92.928518,30.1,0.36,16.64,Heavy alluvial clay,Dense Settlement,263.1,497.5,602.7,0.38,398,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.312912,95.87206,166.9,12.29,5.47,Laterite,Highland Industrial / Township,67.3,165.9,267.2,18.46,19295,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.078974,90.496576,154.4,10.05,5.59,Laterite outcrop,Rubber Plantation,95.1,126.5,212.0,6.7,14544,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.266471,93.117083,356.6,12.42,6.0,Red and yellow forest soil,Hilly Terrain,99.3,185.7,250.6,9.62,14988,0,0
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.642385,93.418839,70.8,0.52,12.92,Marshy organic loam,Paddy Fringe,198.0,349.7,443.1,0.38,747,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.780432,94.215248,118.6,3.82,6.68,Old alluvial terrace soil,Agroforestry,67.8,163.5,199.4,16.25,15218,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.151616,91.909121,138.4,20.68,4.59,Ferruginous weathered rock,Rocky Outcrop / Hill Scrub,81.2,158.7,309.8,12.37,11397,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.180527,92.127569,57.6,0.6,13.63,Organic silty clay,Rural Floodplain Settlement,148.7,323.0,452.5,1.52,446,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.954886,93.639896,379.4,13.67,5.04,Lateritic gravelly clay,Hilly Homestead,92.7,170.1,228.3,20.21,22185,0,0
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.406842,93.074794,66.1,0.95,12.52,Alluvial clay loam,Paddy Cropland,155.8,405.2,486.3,1.97,201,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.324897,90.905368,43.8,0.4,11.87,Clayey hydromorphic loam,Dense Rural Settlement,205.5,464.4,488.8,0.8,348,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.9039,93.049595,28.6,0.3,14.89,Heavy alluvial clay,Urban Built-up / Commercial,252.5,433.3,534.9,0.59,256,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.280128,93.564223,462.3,18.59,7.04,Red loamy soil,Hilly Homestead,57.0,176.3,183.5,23.87,6563,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.469634,94.562418,99.1,0.55,13.34,Silty clay loam,Low-lying Rural Settlement,195.0,400.9,495.9,0.7,594,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.620561,94.441001,123.7,3.93,6.5,Deep red acidic loam,Commercial Tea Plantation,50.9,114.1,204.0,13.91,5691,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.774295,91.734662,150.0,6.23,4.86,Bhabar gravelly loam,Tea Estate,85.9,237.7,245.6,17.2,14290,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.211803,92.313206,61.8,0.62,11.5,Riverine silt,Paddy Cropland,159.5,353.2,487.4,0.35,426,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.881398,91.730364,110.8,7.72,6.73,Coarse boulder-sand,Foothill Plantation,86.2,188.5,251.7,17.36,5685,0,0
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.534525,93.596052,74.4,0.87,12.53,Alluvial silt loam,Paddy Fringe,172.9,288.9,522.9,1.6,429,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.834171,92.941674,29.5,0.58,16.44,Heavy alluvial clay,Depression Wetland (Beel),180.2,394.1,657.6,0.32,384,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.919941,91.383781,136.8,5.34,6.16,Coarse boulder-sand,Foothill Plantation,72.9,243.2,244.8,5.62,10223,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.10562,94.016534,84.7,0.61,11.35,Clayey loam,Paddy Cropland,158.1,394.6,486.8,0.62,154,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.342498,91.553651,51.0,0.84,12.31,Alluvial silt loam,Wetland,190.4,399.2,503.1,1.58,99,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.39095,90.889331,44.8,0.67,13.95,Clayey hydromorphic loam,Permanent Wetland,197.2,444.5,534.2,0.68,453,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.280675,93.015213,384.4,31.1,6.36,Red and yellow forest soil,Sub-Tropical Montane Forest,80.9,181.0,231.7,24.3,28539,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.28982,91.030154,47.0,0.24,15.7,Clayey hydromorphic loam,Paddy Cropland,194.8,455.3,610.2,1.77,369,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.346551,91.137568,44.6,0.58,15.18,Clayey hydromorphic loam,Permanent Wetland,190.2,481.2,553.4,1.29,376,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.90665,93.042877,31.5,0.29,16.88,Heavy alluvial clay,Depression Wetland (Beel),260.2,490.8,593.8,0.33,80,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.665549,94.843957,103.7,1.03,11.39,Alluvial sandy silt,Wetland / Beel,173.9,350.7,533.9,1.55,640,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,25.994793,90.089515,34.9,0.4,15.44,Fine riverine sand,Paddy Cropland,174.7,333.4,487.8,0.51,388,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.897741,92.91845,27.0,0.19,12.75,Heavy alluvial clay,Dense Settlement,237.7,436.1,727.5,1.32,266,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.330724,90.952195,47.3,0.29,13.04,Sand bar alluvium,Permanent Wetland,217.8,447.5,563.1,1.64,267,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.381651,93.158883,817.0,14.53,5.69,Red and yellow forest soil,Sub-Tropical Montane Forest,55.6,195.2,211.1,30.04,13123,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.080731,90.713604,167.3,9.27,6.42,Laterite outcrop,Rubber Plantation,71.7,210.1,286.2,10.86,10401,0,0
